Column1,Column2,Column3,Column4
3.43479E+17,1338597000,quetiapine-51b3a12d5378b9555a2f0833,#quetiapine is kicking in :)
3.45318E+17,1338597000,quetiapine-51ba526f5378b9555a2f28f5,#restlesslegs #quetiapine
3.32991E+17,16060054,cipro-518d7999ac6ab35b4d481d30,"@_cimmy_ thanks! yes, after I was prescribed Cipro a few years ago, and it REALLY messed me up, I am quite wary of broad spectrum ones."
3.44906E+17,82991118,effexor-51b8d2425378b9555a2f2130,"@AaronM effexor was a boner killer, absolutely. welbutrin goes the other way."
3.41115E+17,323112996,cipro-51ab07fc53787e40790e02c6,"@ABittersweet1 Cipro destroyed my entire body, from head to toe. Bedridden since 2009. Be VERY careful."
3.45547E+17,225848172,seroquel-51bb27b65378b9555a2f2d98,"@adelerosenbloom Getting off Seroquel (Sero-KILL) can cause convulsions, fever, toxic reactions, psychotic reactions. and other shit"
3.41986E+17,52090036,prozac-51ae32765378f924d02ef86b,@AerobicsFirst ok.....no problem. I did think running shoes and snorting prozac were at the opposite end of the relationship spectrum.
3.51788E+17,313486653,humira-51d1dbb453785f584a9af14b,@AliJawad12 sure it will! I don't wanna ever come off it! Nothing worked for me apart from Humira so sure it'll do ya good! You not well? X
3.42832E+17,17331154,humira-51b146dd5378b9555a2ef8d4,@AmyBadkin @_ultimateniknik I like Humira. Works for me so far
3.41611E+17,27201896,fluoxetine-51acd5a353784695b04bffb2,"@AmyEllen_xo fluoxetine is a common one, but I've not tried it. I'm terrified of new medications in case they give me side effects"
3.43746E+17,65611610,paxil-51b4999e5378b9555a2f0b5e,@AnitaAlibi Paxil didn't end up helping. Tried Prozac and Wellbutrin and it helped my mood and anxiety but gave me vertigo. :(
3.3283E+17,548115390,seroquel-518ce40eac6ab35b4d48153c,@annaspargoryan benzos don't work for me & I've had a cracker of a panic attack on seroquel. listening to people chat on podcasts helps me.
3.52527E+17,631357943,venlafaxine-51d48bcc53785f584a9b0370,@anwen @Ellwynnnnn Venlafaxine withdrawal is worse than most by miles x
3.29618E+17,1317291756,quetiapine-518133dbac6af778c2041b8d,"@any1mouse jus Gt bck myself, hes puT me on citalopram in addition 2 the quetiapine! Im a bit worried as citalopram has made me manic before"
3.47414E+17,376721174,zyprexa-51c1f26253785f584a9a7eef,"@AnyssiaKaissa Depakote made me feel flat, but helps many. Zyprexa can cause weight gain, so be very careful. I can't tolerate it."
3.47542E+17,220746552,lamictal-51c269e053785f584a9a8244,@aravain I've heard of all kinds of skin issues on Lamictal! pretty sure mine is psychosomatic though...
3.41675E+17,22059705,humira-51ad112e5378f924d02eeeaf,@ash_amo yes! Been on it for years. That along with Humira kept me symptom free for 2 years. Good luck!
3.39919E+17,47393647,prozac-51a6ae2f5378d08eec90703e,@ATLangela LOLOL!!! Mine is 6 and I can't imagine that long in the car with her. Without lots of Prozac and sedatives.
3.50043E+17,1167637656,humira-51cb824753785f584a9ac931,@ayegraybay I knowwishful thinking. My Humira shot doesn't even work for me anymore and when it does I get so sick.
3.42222E+17,20973255,olanzapine-51af0ed25378f924d02f00fa,@Azlemed first two weeks of olanzapine v drowsy. weight gain was an issue. Great for my anxiety though.
3.41942E+17,406578715,vyvanse-51ae09cb5378f924d02ef695,"@Back_datASHup same lol didn't eat a thing, damn vyvanse"
3.42051E+17,24289524,seroquel-51ae6f255378f924d02efb1e,"@badboyfloyd_ lmao, i'm prescribed baby. it's for my anxiety. i take seroquel, and celexa with it. i'm a fucking zombie after 9pm."
3.52909E+17,95280650,fluoxetine-51d5ef7e53785f584a9b0d7d,@BespokePeter @mattjholding Fluoxetine..?! I just need one each day until Monday. I hate asking. I'm worried .
3.47261E+17,273421529,quetiapine-51c1639553785f584a9a7b79,@BipolarBlogger I hate Quetiapine. I was so relieved to come off it and stop feeling like a zombie.
3.31479E+17,273421529,quetiapine-5187f99bac6a942006b3ce1b,@BipolarBlogger I'm on Citalapram and 600mg Quetiapine - I'm not sleeping!
3.49507E+17,93261585,venlafaxine-51c98f8553785f584a9abeec,"@BipolarBlogger yeah, generic Venlafaxine has about four different slow release formulations, I got withdrawals from some."
3.46575E+17,198650912,lamictal-51bee5155378b9555a2f3e1e,@BLEDNOS Lamictal and trileptal and seroquel...of course the seroquel I take in severe situations because gaining weight is never cool
3.33947E+17,1096744752,cymbalta-5190f3ffac6ab35b4d4840df,@branden_koerner you know... theres a type medician out there that helps with your depression... cymbalta can help..
3.40292E+17,365392623,nicotine-51a8090153787e40790dec01,@BroahEgan it's my nicotine withdrawls
3.33048E+17,27714264,lamictal-518daeb1ac6ab35b4d481f46,"@BurberryWife sometimes it never ends. So sorry. Topomax is miserable with parasthesia, cognitive problems, kidney stones. Lamictal's good"
3.45726E+17,15891806,quetiapine-51bbce005378b9555a2f3163,@Butterflywgs ...my old ones! Plus caffeine in the morning counteracts these quite nicely whereas quetiapine hangovers were unshiftable
3.32574E+17,210777087,baclofen-518bf599ac6ab35b4d48099f,"@CaroleWhelan I find the baclofen worse, it has left me in a tired/sleepy fog all day - the codeine I can (mostly) deal with."
3.49191E+17,375110726,humira-51c868e753785f584a9ab4f3,@CCFA pooped out bc i did humira last night :)
3.33894E+17,42289251,fluoxetine-5190c276ac6ab35b4d483eae,"@Chavielle i has beta blockers now, apparently the fluoxetine can cause panic attacks ^_^"
3.52544E+17,72860003,quetiapine-51d49c6553785f584a9b03d8,"@cheer_bear13 quetiapine knocked me sidewards for a week then I suddenly woke up activated. Then relapsed, upped dose, activated & so on"
3.33342E+17,16060054,cipro-518ec0b5ac6ab35b4d482a45,"@CIPROisPOISON @_cimmy_ I hope you are doing better now. Yes, a small dose of Cipro a few years ago did get me two or so years of problems."
3.32547E+17,83676464,cipro-518bdbfcac6ab35b4d4807b8,"@CIPROisPOISON ironically, the pulmonologist I work with told me about his own devastating bout with 'tendonitis' after Cipro"
3.43843E+17,1305747020,venlafaxine-51b4f4a55378b9555a2f0cd6,"@Claramusician @joshgroban shame that idiots depth venlafaxine never my words, but the ignorance of their interpretation"
3.32142E+17,62062809,prozac-518a634bac6a942006b3eb89,@cloudtoad @MrsYisWhy @bigthink each brain is different. The SSRI I'm on has worked really well. Prozac made me a zombie. #Brains
3.2755E+17,256312949,trazodone-5179ae16ac6af778c203828e,"@CMichaelGibson, so I guess trazodone, or other psychiatric drugs are not as common either...."
3.42218E+17,84437614,quetiapine-51af0ae25378f924d02f00cc,@crescentcolours that'll be the quetiapine making you drowsy. It's a common side effect xx
3.32978E+17,25173368,quetiapine-518d6ddbac6ab35b4d481c99,"@crimefish Bum. I was worried about mania on them, but I think the biffiness is going to be worse, especially coupled with Quetiapine."
3.5086E+17,1460971,humira-51ce7b2a53785f584a9ada67,"@crohns_twins that sucks. Humira made me so sick. Remicade helped a but, but then seizures put that out. Now waiting, just prednisone now."
3.41994E+17,350560395,prozac-51ae3ace5378f924d02ef8c9,@d_hablo yh prozac n ecstasy block neuron pathways or some shit
3.5022E+17,19750152,pristiq-51cc272253785f584a9accfc,@DanCuzns I'm on Pristiq and I'm on the pill too remember. So can't mix with the two.
3.48478E+17,233796317,effexor-51c5d11853785f584a9a9c5f,@darko_marco I've no probs with porn other than the fact that I've gained 80 pounds on Effexor and no one needs to see that ;-)
3.41174E+17,179074771,effexor-51ab3ec053787e40790e03bf,@deltrimental Stopping Effexor is probably good but not suddenly! xxx
3.31513E+17,177270560,memantine-51881957ac6a942006b3cf94,"@DementiaToday memantine has a limited effect, more focus should be on reducing agitation and not just with Pharmacology ;)"
3.4832E+17,191752561,olanzapine-51c53df353785f584a9a9311,@DevonHunterXXX *Gives @kjq515 OLAnzapine* Let QUEEN Ola's powers of healing into your heart!
