Column1,Column2,Column3,Column4
3.32481E+12,,,
3.33415E+17,49826398,0," â€œ@Ras_Tin: ""Depression hurts.. Cymbalta can help""â€"
3.4959E+17,167498990,0,*batman voice* do you have a lozenge
3.49178E+17,47365941,0,*batman voice* do you have a lozenge
3.49639E+17,23299449,0,*batman voice* do you have a lozenge
3.32676E+17,79220559,0,*takes cymbalta* RT @_xoxo_bubzie: sigh =/ #depression RT @ThreeInchEmpire: This! RT @_xoxo_bubzie: sigh tomr need fi hurry n pass -.-
3.4301E+17,375110726,0,? From an #crohnie: have any of u experienced weight gain on humira? And why? Notice u eat more or eat the same but just gaining weight?
3.50252E+17,443394911,0,@_connectedcare @rheumi_ So: pt on MTX+Etanercept not resopnding. Would you change them to triple therapy? it's a non-inferioritystudy.
3.54235E+17,172254552,0,@AbbyRummage Try Bonivapic.twitter.com/EDOaQiCKRp
3.49379E+17,275033058,0,"@addictionguy I hope it works, he paired it with Lamictal, so idk..."
3.52584E+17,190883750,0,@AgenteDiezCP Sheimon Lets Its Floxen and Music .....
3.51445E+17,452167895,0,@AgentMariaHill Oh I took it last night. And I took it his morn... juz the Effexor. But damn... didn't think it'd spike it this bad...?
3.43886E+17,272881596,0,@Alex_the_seal You still not feeling well? :( #sickie Ring the boss.Sending u a throat lozenge.#luvthatword lol #lozenge
3.51786E+17,313486653,0,@AliJawad12 I'm on Humira weekly darl! Best med ever 
3.48841E+17,25517042,0,@AliOnTheRun1 been on Humira for Crohn's for 2 years now. Still get nervous when injecting sometimes. I hope it helps you combat the disease
3.44876E+17,332991631,0,@Allikat1342 RHI is changing up my baclofen schedule after 13 yrs. This should be fun. #itake18pillsadayalready #hopeidontseeroosters
3.51465E+17,21412725,0,@amaditalks @argylestyle Except for the Boniva commercial.
3.4037E+17,233579972,0,@ameehewer8 I think we all need more than nicotine!! Haha see you inabit
3.44836E+17,480071643,0,"@ampartlow humira is what I'm on now, and it doesn't make me sick every time I take it, and it doesn't harm my body."
3.44511E+17,64712361,0,@AmyBadkin I'm sorry to hear this rheum sistah! Any news on Humira?
3.49246E+17,341711818,0,"@AmyBadkin yes, Humira pens are large and kind of clunky. They work well but its a bit of a jab for sure. I prefer syringes."
3.47122E+17,107651376,0,"@amyjanesays Yikes, thats scary stuff. I've taken Enbrel b4, been trying other things & havent found anything that works. Thx 4 the heads up"
3.5002E+17,1522959193,0,@Anak_Bijak I see you talked about Latuda a while back. I just started on it last week. Has your experience with it been positive?
3.40581E+17,524939425,0,@andreamp11 I had a paranoid schizophrenic on 70 mg of zyprexa a day ask me if she could have my babies at work...
3.29621E+17,212521596,0,@angelreader I have no fluoxetine. Unfortunately. Just lots of caffeine.
3.45098E+17,19232914,0,"@antonycotton they do a very similar zinc lozenge product in Holland and Barretts,"
3.54302E+17,84437614,0,@anwen ah I'm on 600mg quetiapine but as an anti psychotic. Not heard of those other two. Thanks.
3.45298E+17,123820842,0,"@ArthritisAshley as effective,unless it's not, which it wasn't for me. Enbrel is a god-send"
3.44585E+17,1393391472,0,"@azmuscle I can't even imagine! I'm starting #Humira soon, should be interesting."
3.30566E+17,388286396,0,@bebipinku only on 40mg of fluoxetine a day omfg
3.52907E+17,72860003,0,@BipolarBlogger quetiapine is expensive so I wonder if that's their rationale? Mine won't give me more than a month of anything.
3.46575E+17,198650912,1,@BLEDNOS Lamictal and trileptal and seroquel...of course the seroquel I take in severe situations because gaining weight is never cool
3.32669E+17,369806091,0,@BlooodTypeZ I mean what ever it is Cymbalta can help.
3.42416E+17,28094698,0,"@bnavarrotx idea of syringe still freaks me out a bit, but everyone I know who's tried both prefers it. #Humira #SyringeVsPen #rheum"
3.45686E+17,14121027,0,@BowerMelisa I'm on #tysabri and so far so good I've only had 3 treatments it's once a month infusions
3.47138E+17,32335569,0,@bpchelmsford @bipolar_blogs it's about _novel_ agents. Lamictal is not novel in the least.
3.40532E+17,788645132,0,"@briantrimble3 @DustinVFL As long as they're restrained & have had a relaxation psych cocktail (Haldol/Geodon mixer,etc),yall should be fine"
