tweet_id	begin	end	type	extraction	drug	tweet	meddra_code	meddra_term
326376825590779905					lamictal	do u know what medications are r for bipolar depression? currently #fda approved lamotrigine aka #lamictal		
326406322323066883	111	117	ADR	zombie	olanzapine	thought of work is overwhelming me so much i feel like crying but can't because olanzapine has me trapped in a zombie state #strugglewithin	10016384	felt like a zombie
326406322323066883	45	71	ADR	feel like crying but can't	olanzapine	thought of work is overwhelming me so much i feel like crying but can't because olanzapine has me trapped in a zombie state #strugglewithin	10011469	crying
326455480891346947	108	122	ADR	hot &amp; cold	venlafaxine	5hrs sleep last night but stayed awake today. lethargic &amp; low still. in bed &amp; can feel myself going hot &amp; cold :(  #venlafaxine #day7	10016335	feeling hot and cold
326455480891346947	46	55	ADR	Lethargic	venlafaxine	5hrs sleep last night but stayed awake today. lethargic &amp; low still. in bed &amp; can feel myself going hot &amp; cold :(  #venlafaxine #day7	10024262	lethargic
326456822007492608					trazodone	my urologist today said that trazodone can cause priapism. which is an erection lasting 4 hours. i will never take that sleeping pill again		
326496283516882944					lamotrigine	medical professionals on my feed...any thing i need to know about this med: lamotrigine. it's being used to treat bipolar teen.		
326596903791902720	36	41	ADR	sleep	ofloxacin	ciprofloxacin: how do you expect to sleep when your stomach is a cement mixer?	10041017	sleeplessness
326596903791902720	52	77	ADR	stomach is a cement mixer	ofloxacin	ciprofloxacin: how do you expect to sleep when your stomach is a cement mixer?	10042113	stomach pain
326776808097861632					quetiapine	end of day 2 -much better but still upping dosage -lets hope for more movement tomor! #newmeds #meantalhealth #bipolar #quetiapine		
326789014290055168	26	32	ADR	hungry	olanzapine	@dopamine_diva q makes me hungry. olanzapine made me want to eat my own arm!	10020466	hunger
326789014290055168	53	75	ADR	want to eat my own arm	olanzapine	@dopamine_diva q makes me hungry. olanzapine made me want to eat my own arm!	10020466	hunger
326942685426483200					trazodone	"zyrtec, benadryl, lortab, etodolac, flexeril, celexa, trazodone, temazepam, motrin, &amp; aspirin. i will either sleep or die. at this point idc"		
327121072099045376					lamotrigine	my mood swings are getting worse and lamotrigine isn't helping at all.�		
327136020594307072	106	138	ADR	 parody of an actual human being	zyprexa	"wellbutrin, zyprexa, xanax, effexor, lamotrigine, valium. every day. i'm not even a person anymore. i'm a parody of an actual human being."	10012359	depersonlization
327202063299788801	13	26	ADR	try for sleep	venlafaxine	i�m going to try for sleep. real sleep. not that light bastard that #venlafaxine brings me.	10041017	sleeplessness
327202063299788801	49	62	ADR	light bastard	venlafaxine	i�m going to try for sleep. real sleep. not that light bastard that #venlafaxine brings me.	10062519	poor sleep quality
327692063460163585	62	75	ADR	wiping me out	venlafaxine	cannot decide whether to take meds today. the #venlafaxine is wiping me out like the #citalopram did. i can't function on them. #day11	10015667	exhaustion
327692063460163585	104	118	ADR	can't function	vanlafaxine	cannot decide whether to take meds today. the #venlafaxine is wiping me out like the #citalopram did. i can't function on them. #day11	10041349	somnolence
327793679634931712	38	73	ADR	feel like I am in a straight jacket	olanzapine	after taking olanzapine i wake up and feel like i am in a straight jacket because my muscles feel stiff	10028339	muscle stiffness
327793679634931712	85	103	ADR	muscles feel stiff	olanzapine	after taking olanzapine i wake up and feel like i am in a straight jacket because my muscles feel stiff	10028339	muscle stiffness
328059687327109120	32	40	ADR	Feel low	venlafaxine	another night of 'light' sleep. feel low. subdued. sad.  #venlafaxine #day12	10024919	low mood
328059687327109120	51	54	ADR	Sad	venlafaxine	another night of 'light' sleep. feel low. subdued. sad.  #venlafaxine #day12	10016364	feeling sad
328059687327109120	42	49	ADR	Subdued	venlafaxine	another night of 'light' sleep. feel low. subdued. sad.  #venlafaxine #day12	10024919	low mood
328059687327109120	18	30	ADR	light' sleep	venlafaxine	another night of 'light' sleep. feel low. subdued. sad.  #venlafaxine #day12	10062519	poor sleep quality
328244482455764994					lamotrigine	if i become high i will not increase the lamotrigine as this will fuel the sleep problems		
328244482455764994	75	89	ADR	sleep problems	lamotrigine	if i become high i will not increase the lamotrigine as this will fuel the sleep problems	10041006	sleep problem
328248124399296512	86	101	ADR	 tired daytimes	venlafaxine	tonight i am taking my #venlafaxine in the evening in pursuit of better sleep and less tired daytimes. wish me luck.	10011865	daytime sleepiness
328248124399296512					venlafaxine	tonight i am taking my #venlafaxine in the evening in pursuit of better sleep and less tired daytimes. wish me luck.		
328409269709967361					venlafaxine	"tell your doctor if you experiment suicidal thoughts after taking venlafaxine. wait, isn't that the reason why i started taking this shit?"		
328525527184977925					olanzapine	@joesimpson475 @major___tom in my humble opinion the only reason for prescribing olanzapine is sedation.		
328645545411354625	0	10	ADR	Over-eaten	olanzapine	over-eaten again just before bed. stuffed. good chance i will choke on my own vomit during sleep. i blame #olanzapine #timetochange #bipolar	10015598	excessive eating
328645545411354625					olanzapine	over-eaten again just before bed. stuffed. good chance i will choke on my own vomit during sleep. i blame #olanzapine #timetochange #bipolar		
328996507065917440					quetiapine	@nevharvey now that i'm on a hefty dose of quetiapine i usually sleep no problem. yet the anxiety remains. a hangover from the days when...		
328996507065917440					quetiapine	@nevharvey now that i'm on a hefty dose of quetiapine i usually sleep no problem. yet the anxiety remains. a hangover from the days when...		
329201654484328450	120	125	ADR	dizzy	pregabalin	ooooop. anyone know if amoxicillin and pregabalin have an interaction? never had one with fluoxetine and losartan... so dizzy!	10013573	dizziness
329201654484328450	58	69	ADR	interaction	pregabalin	ooooop. anyone know if amoxicillin and pregabalin have an interaction? never had one with fluoxetine and losartan... so dizzy!	10013710	drug interaction
329340088809033730					olanzapine	"husband said i was a little 'high' tonight so encouraged me to take 7.5mg of olanzapine. now feel really really really sleepy, zzzz...."		
329340088809033730	120	126	ADR	sleepy	olanzapine	"husband said i was a little 'high' tonight so encouraged me to take 7.5mg of olanzapine. now feel really really really sleepy, zzzz...."	10041014	sleepiness
329541278268264448					quetiapine	@ital_livity not getting any better here so dragging myself to gp. i'd rather be mad than comatose! hope ur doing ok #quetiapine		
329541278268264448	90	98	ADR	comatose	quetiapine	@ital_livity not getting any better here so dragging myself to gp. i'd rather be mad than comatose! hope ur doing ok #quetiapine	10041349	somnolence
329617517578444802	129	134	ADR	manic	citalopram	"@any1mouse jus gt bck myself, hes put me on citalopram in addition 2 the quetiapine! im a bit worried as citalopram has made me manic before"	10026749	mania
329617517578444802					quetiapine	"@any1mouse jus gt bck myself, hes put me on citalopram in addition 2 the quetiapine! im a bit worried as citalopram has made me manic before"		
329831780670656513					trazodone	stop taking trazodone and call your doctor at once if you have a penis erection that is painful or lasts 6 hours or longer.my sleeping pills		
329832584282513408	91	97	ADR	dreams	melatonin	"rp mcmurphy was right about the trazodone being my new favorite bed-buddy. rip, melatonin dreams. you were getting too weird - even for me."	10004969	bizarre dreams
329832584282513408					trazodone	"rp mcmurphy was right about the trazodone being my new favorite bed-buddy. rip, melatonin dreams. you were getting too weird - even for me."		
329867012782309376	0	7	ADR	Tearful	lamotrigine	tearful this morning. desperately poor nights sleep. utterly fucked up by withdrawing so quickly from lamotrigine	10043169	tearfulness
329867012782309376	34	51	ADR	poor nights sleep	lamotrigine	tearful this morning. desperately poor nights sleep. utterly fucked up by withdrawing so quickly from lamotrigine	10062519	poor sleep quality
329867012782309376	74	85	ADR	withdrawing	lamotrigine	tearful this morning. desperately poor nights sleep. utterly fucked up by withdrawing so quickly from lamotrigine	10048010	withdrawal syndrome
329890622674718720	0	17	ADR	Joints killing me	lamotrigine	joints killing me now i have gone back up on the lamotrigine. sick of side effects. sick of meds. want my own self back. knackered today	10023222	joint pain
329890622674718720	121	130	ADR	Knackered	lamotrigine	joints killing me now i have gone back up on the lamotrigine. sick of side effects. sick of meds. want my own self back. knackered today	10016370	feeling unwell
329973587559731200					fluoxetine	me: how is your depression now that you�re on fluoxetine?  pt: i don�t have depression. i have fibromyalgia.   me: &lt;sigh&gt;		
330026374758797312	100	108	ADR	addicted	olanzapine	"me: why have i been sectioned, what psychotic symptoms do i have? psychiatrist: dancing.  i am now addicted to the antipsychotic olanzapine"	10001125	addiction
330026374758797312					olanzapine	"me: why have i been sectioned, what psychotic symptoms do i have? psychiatrist: dancing.  i am now addicted to the antipsychotic olanzapine"		
330056211133247489					quetiapine	@bella_astre @mrs_kittyo i've had chronic insomnia for as long as i can remember because my brain won't shut up. low dose of quetiapine...		
330056211133247489					quetiapine	@bella_astre @mrs_kittyo i've had chronic insomnia for as long as i can remember because my brain won't shut up. low dose of quetiapine...		
330070815049662465	0	10	ADR	coming off	quetiapine	coming off #quetiapine is harder than u think. nausea sickness hot and cold shivers twitching headache #bipolar #mentalhealth #medication	10013754	drug withdrawal syndrome
330070815049662465	63	75	ADR	hot and cold	quetiapine	coming off #quetiapine is harder than u think. nausea sickness hot and cold shivers twitching headache #bipolar #mentalhealth #medication	10016335	feeling hot and cold
330070815049662465	94	102	ADR	headache	quetiapine	coming off #quetiapine is harder than u think. nausea sickness hot and cold shivers twitching headache #bipolar #mentalhealth #medication	10019211	headache
330070815049662465	54	62	ADR	sickness	quetiapine	coming off #quetiapine is harder than u think. nausea sickness hot and cold shivers twitching headache #bipolar #mentalhealth #medication	10016365	feeling sick
330070815049662465	47	53	ADR	nausea	quetiapine	coming off #quetiapine is harder than u think. nausea sickness hot and cold shivers twitching headache #bipolar #mentalhealth #medication	10028813	nausea
330070815049662465	76	83	ADR	shivers	quetiapine	coming off #quetiapine is harder than u think. nausea sickness hot and cold shivers twitching headache #bipolar #mentalhealth #medication	10040558	shivering
330070815049662465	84	93	ADR	twitching	quetiapine	coming off #quetiapine is harder than u think. nausea sickness hot and cold shivers twitching headache #bipolar #mentalhealth #medication	10045198	twitching
330070815049662465					quetiapine	coming off #quetiapine is harder than u think. nausea sickness hot and cold shivers twitching headache #bipolar #mentalhealth #medication		
330249629247610880	35	45	ADR	withdrawal	lamotrigine	"@ecrjones attempts at lamotrigine withdrawal, commuting by train every day and being back at work in a new role"	10023222	joint pain
330284990770327555					fluoxetine	@pillowfort fluoxetine was my god for a short time. disagree that girls help with depression though..		
330341426120503298	45	56	ADR	passing out	trazodone	debating on taking a trazodone and literally passing out for the day.	10041349	somnolence
330357689613946883					memantine	rt @jeremyvvw: there are other drugs in development. large randomized study of memantine under way for core symptoms. #autismchat		
