tweet_id	user_id	db_id	begin	end	type	extraction	drug	drug_1	tweet	meddra_code	meddra_LLTerm															
351631417559625728	1425799212	apixaban-51d149fe53785f584a9aec92							rt @dmpharmresearch: @nejm publishes exciting phiii trial results for #eliquis (apixaban) suggesting a hopeful alternative for vte  #isth20…																	
333399411042447360	163717143	avelox-518ef604ac6ab35b4d482c61							get some abreva and rub it on your cock b4 u use it next.  or take some avelox.																	
340708307255836672	464334507	avelox-51a98cf553787e40790df8a9							"#download avelox - a medical dictionary, bibliography, and annotated research guide to internet references - icon health... @workshopguides"																	
347950374063329280	1222876344	avelox-51c3e5a853785f584a9a8c01	76	93	ADR	connective tissue	avelox	avelox	"@misterak47 @cbs i don't know what that has to do w/ me. avelox has hurt my connective tissue,lungs and thyroid. i guess i should feel lucky"	10061087	connective tissue disorder															
347950374063329280	1222876344	avelox-51c3e5a853785f584a9a8c01	94	99	ADR	lungs	avelox	avelox	"@misterak47 @cbs i don't know what that has to do w/ me. avelox has hurt my connective tissue,lungs and thyroid. i guess i should feel lucky"	10025082	lung disorder															
347950374063329280	1222876344	avelox-51c3e5a853785f584a9a8c01	104	111	ADR	thyroid	avelox	avelox	"@misterak47 @cbs i don't know what that has to do w/ me. avelox has hurt my connective tissue,lungs and thyroid. i guess i should feel lucky"	10043709	thyroid disorder															
343406657717547008	23797717	baclofen-51b35e355378b9555a2f0709	78	84	ADR	drowsy	baclofen	baclofen	i am never taking baclofen and norflex the same day again. first i felt super drowsy but now i feel extremely high and it's freaking me out.	10013649	drowsiness															
343406657717547008	23797717	baclofen-51b35e355378b9555a2f0709	110	114	ADR	high	baclofen	baclofen	i am never taking baclofen and norflex the same day again. first i felt super drowsy but now i feel extremely high and it's freaking me out.	10016333	feeling high															
343565430239158272	453579635	baclofen-51b3f1ec5378b9555a2f0923	25	29	ADR	high	baclofen	baclofen	baclofen gives me a head high but it makes me feel like throwing up after. ugh. #thestruggle	10016333	feeling high															
343565430239158272	453579635	baclofen-51b3f1ec5378b9555a2f0923	46	67	ADR	feel like throwing up	baclofen	baclofen	baclofen gives me a head high but it makes me feel like throwing up after. ugh. #thestruggle	10028813	nausea															
350996884472598529	69673436	baclofen-51cefb0653785f584a9adda0							@shiftms @positiveaboutms question about sleeping probs at night. anyone else encountering this?baclofen perhaps? cheers x																	
354418786499166208	1030317133	baclofen-51db6dd653785f584a9b233f							"@rogerrdharris @rfdsdoc @toxtalk @poisonreview cause here is baclofen toxicity(mostly)not bd.no plausible cause but testing was done,caveat"																	
332278485278134274	567012408	cipro-518ae213ac6ab35b4d47fb2d	21	27	ADR	 burns	cipro	cipro	the cipro in you eyes burns but works its buffered for your ears seems stupid but if they take your life take it back	10006774	burning eyes															
333719476254154752	16679584	cipro-5190201aac6ab35b4d483786	28	31	Indication	uti	cipro	cipro	"got a script of cipro for a uti for #motherday. lol, thank god for walk in clinics."	10046848	UTI															
334014050348457985	427955567	cipro-51913272ac6ab35b4d484473	35	52	ADR	murdering my mind	cipro	cipro	the pathway of cipro is definitely murdering my mind right now ? #donedonedone	10027374	mental impairment															
341171613368205312	1200977496	cipro-51ab3c7d53787e40790e03b4							the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?																	
341508789654147072	14200912	cipro-51ac767753787e40790e0b71							starting the cipro and flagyl today :( this should be fuuuuun																	
342777097661599744	155311539	cipro-51b113ae5378b9555a2ef7d3							"@princessdolly85 off ivs for another 3 weeks for til tue til improve or ivs sooner :-/ hope cipro have helped, shame about no sun"																	
348345272553840640	104294620	cipro-51c5556f53785f584a9a93c5							rt @lemonka: the lady from the bank later said sir this means that cipro discontinued your business &amp; since this a ... http://t.co/qjmiuram…																	
348374178820415488	142220043	cipro-51c5709253785f584a9a944a							harde rt @baokent: :( “@lemonka: great cipro advertised my company for interested bidders.”																	
348800441192169474	819215646	cipro-51c6fd5853785f584a9aa7cd	41	67	ADR	weird &amp; bizarre dreams	cipro	cipro	rt @indigo_rosie: my medication gives me weird &amp; bizarre dreams. not all bad though. last night i had dinner with the rolling stones #cipro…	10004969	bizarre dreams															
349693143400202240	390960486	cipro-51ca3cce53785f584a9ac27a							"@simbukha hey sim! i never chat wth u via dis social netwek, r u great dou?@cypro"																	
