tweet_id	user_id	db_id	Begin	End	Type	Extracted_span	Tweet	drug	drug_1	Meddra_code	Meddra_LLTerm										
328750784500088833	519921260	alendronate-517e0ca5ac6af778c203b786					"when i can't sleep i start list the drugs i know if alphabetical order - abciximab, acamprosate, alendronate... zzzzzz(olpidem, opiclone)..."														
350499343540813824	64986227	alendronate-51cd2b9253785f584a9ad2d3					@doctorcaldwell alendronate works in elderly. intended benefits are relevant. issues are compliance/tolerability and life expectancy&gt; 1 yr														
354293203786141698	1230312476	alendronate-51daf8e353785f584a9b20c6					{1} alendronate is a bisphosphonate used to treat oseoporosis and paget's disease. how should the patient take it? http://t.co/dgu1barbha														
344228218259251200	119049059	apixaban-51b65b615378b9555a2f1333					apixaban: factor xa inhibitor for stroke prevention in patients with nonvalvular atrial fibrillation.														
351665598968766464	1523726154	apixaban-51d169bb53785f584a9aed99					giancarlo agnelli just presented good résults of #amplify study #apixaban in treatment of pe and dvt #isth2013 http://t.co/pswj9oeakv														
351686062353027072	499469139	apixaban-51d17cd353785f584a9aee72					rt @cmichaelgibson: oral #apixaban non-inferior in effectiveness &amp; lowers bleeding c/w warfarin in acute venous thromboembolism #nejm http:…														
351689406056366081	58972109	apixaban-51d17fe753785f584a9aee9d					rt @cmichaelgibson: #apixaban / #eliquis reduced major bleeding from 1.8% to 0.6% vs #warfarin in acute venous thromboembolism patients htt…														
332562785970049024	63881061	avelox-518bead9ac6ab35b4d48089b	30	62	ADR	Central nervous system breakdown	@ciproispoison avelox got me. central nervous system breakdown.	avelox	avelox	10007943	central nervous system disorder										
340936488332185600	1363138824	avelox-51aa61c453787e40790dfdfa					"@drjudystone dr-read you know side effects of levaquin, avelox, and cipro-true? can you help people suffering-drs. tell us in our mindno way"														
332531689639256064	42685103	baclofen-518bcde3ac6ab35b4d4806e3	112	114	Indication	MS	"does anybody take baclofen? so, what dose? just curious. i now take 50mg a day  can you rt please @positiveaboutms ?"	baclofen	baclofen	10028053	MS										
332574327444746240	210777087	baclofen-518bf599ac6ab35b4d48099f	74	77	ADR	fog	"@carolewhelan i find the baclofen worse, it has left me in a tired/sleepy fog all day  - the codeine i can (mostly) deal with."	baclofen	baclofen	10016876	foggy feeling in head										
