user,tweet_id,tweet,ade
351832646,5.65416E+17,Next Day I Off Xanax Life,0
49877350,5.45206E+17,"@DrRichardBesser My daughter started tamiflu Monday. If the rest of the family gets it, when would we start seeing symptoms?",1
629013191,5.32598E+17,Adderall and coffee.,0
151671988,5.33242E+17,4 tests + 1 quiz = Adderall,0
541294335,5.36967E+17,Just went and copd #NBA2K15,0
967513490,5.44903E+17,Who wants to get me adderall for exams? ,0
2329845796,5.46072E+17,"Adderall had me like ""my palms are sweaty, knees weak, arms are heavy""â€ - said all the high schoolers during finals",0
612797013,5.40584E+17,"Ravens DT Haloti Ngata suspended 4 games by NFL, claims Adderall use; may return for playoffs",0
1849663171,5.45774E+17,â€œ@AdderallHadMe: When the Adderall kicks in https://twitter.com/AdderallHadMe/status/540204923363676160/photo/1pic.twitter.com/vGtdL767BnÂ â€ @Stickynipps,0
19253495,5.59123E+17,@JewelFen aww fen thankyou x,0
2791066327,5.39877E+17,"Thalidomide survivors seek more financial support from Ottawa, to know of that which they may not well speak. Some. #XmasListIn3Words",0
564372788,5.35754E+17,Mmkn ala2y friendship bracelets fen f Mall of Arabia ?,0
408787246,5.58995E+17,First night out in ages and what do I reach for..... Imodium ,0
324191167,5.45299E+17,adderall just had me write from cover to cover in that blue book. back to the dubb,0
473595147,5.63736E+17,"@killuhky amen, xanax is fucking awful",1
232683620,5.67549E+17,Hmu for weed or xanax Will deliver rn . Trappn,0
92137598,5.62276E+17,Adderall had me thinking I was an ice road trucker on the way to work.pic.twitter.com/JblHk0F42T,0
16845245,5.50876E+17,"@bizarchive but who has or had diarrhea, and what role did Imodium play in the show",1
24580091,5.28922E+17,@iSmashFizzle was on wellbutrin for a while. Couldn't handle vyvanse but my dad is fine on it. Rn=10 mg of adderall as needed,1
11643,5.41696E+17,@VeloAcciaio Iâ€™ve used a ventolin maybe 6 puffs in the last 10 years. Iâ€™ve had three or four today.,0
1014146533,5.4247E+17,adderall is magic,0
760262066,5.38393E+17,thank god for adderall,0
176517760,5.53389E+17,@KaseY_TenderS if you take vyvanse in the morn you feel like that a good part of the day,0
2465478715,5.44114E+17,"Woooooow this is amazing,,dance antara @Shaheer_S dan #PoojaSharma ;) I like it (y) !!! Kereeeeeeeeen .. Dua jempol (y)(y)",0
596956633,5.45798E+17,@JacobLDurham Adderall,0
329930757,5.52172E+17,@Kelli_MI @AgelessHippie1 I know ... saw an ad for COPD & the side effects were 3 times the benefits ... no thanks give me something else,0
1286623844,5.47591E+17,"If you had a Ventolin nebuliser, are you allowed a Ventolin inhaler a few hours later, or would it be too much?",0
2192715778,5.53801E+17,Damn my nigga Darvin at the hospital I'm here for you bro! On my way Darvin to at least there for! I love you man ,0
216056277,5.52405E+17,I stopped talking my prozac bc they lowered it to the liquid and it was hurting my braces and now they're like okay take 20mg again,1
2174024241,5.64865E+17,@AdderalIHadMe: Adderall had me remembering my MySpace password hahah,0
73953686,5.62512E+17,Took some adderall now I can't sleep.,1
2175530965,5.58338E+17,Adderall season is officially in full swing. #UTSA,0
108535319,5.56001E+17,@Call_Me_Apples maybe try OTC nexium? I take rx nexium for my reflux and it helps,0
366201643,5.62748E+17,I NEED A FUCKING XANAX,0
2526759554,5.40443E+17,Why is @Sober_Nation being promoted about the dangerous of adderall on my TL. Do you even know who I am twitter,0
122912222,5.28786E+17,Im bored so im boutta tweet some disney lyrica boi.,0
2381210702,5.53012E+17,"@KNovak08 Did you start taking Tecfidera yet? If so, how are you feeling? My symptoms only lasted a few days. Doing great now.",1
771859002,5.30222E+17,@love_baylie on that Adderall and red bull,0
256615993,5.43785E+17,"â€œ@MichaelHofeld: I ""accidentally"" took an adderall instead of an antibiotic so I'm up all night. Fuck.â€ Fixed",1
409029147,5.57562E+17,The only think worse than adderall itself is the mornings when you can't remember if you've taken yet. Do you double up or go without? Ugh,0
598975518,5.36836E+17,UGH FUCK VYVANSE ITS 4:57 DAMMIT,1
22030021,5.43086E+17,@FertilityPrtnrs I have PCOS and on metformin,0
40349263,5.51434E+17,Moonlight over Fen Endpic.twitter.com/Qn32L8ct6J,0
51104042,5.60531E+17,I could use some adderall in my green tea.,0
562737642,5.40784E+17,Jose Rodrigues Vineyards Coalesces Some Ass-spankin' Tasy Bubble Gum Midtones And A Lucid Albuterol Finish In Their 2009 White Pinot. #fant,0
21366270,5.37516E+17,@juuzz lol how far are you? Am just getting to heathway. I had bacon sandwich this morning. I need to get Imodium just in case Lool,0
598966816,5.57741E+17,"Took 40 MG of adderall cause I had a math test, felt like fucking Stephen hawking reading that shit, turned out I got a 6% smh",0
610534725,5.40528E+17,Great now to hear people call the Ravens Radderavens or some weird stupid name related to adderall,0
423076206,5.41826E+17,"Please correct. It's not ""Male fenah jehun"" but rather ""Male' meehun fenvaran saafu fen nethun"". @MBCkhabaru @cnmmv",0
820531596,5.45848E+17,I couldn't spell adderall for the longest time hahahahaha,0
28271460,5.35279E+17,Nexium Exclusivity at High Risk pulls #Pharma major @RanbaxyIndia stock lower in opening trade @BloombergTVInd @PriyaSheth7,0
1888374319,5.54363E+17,â€œ@AdderallHadMe: Adderall had me https://twitter.com/AdderallHadMe/status/553279776199565313/photo/1pic.twitter.com/szg4sKKjMrÂ â€,0
962950536,5.49749E+17,i'm watching prozac nation & it is reminding me of my old self & i'm so thankful things are different now,0
19640399,5.58382E+17,Gotta take two adderall to finally get outta bed.,0
368544485,5.40884E+17,â€œ@AdderallHadMe: Adderall had me like https://twitter.com/AdderallHadMe/status/536687327259533312/photo/1pic.twitter.com/KV9rgnevLEÂ â€ you @Sno_Field28,0
40238010,5.47039E+17,@Sham_Ali19 famous example Viagra is a brand vs sildenafil is the generic,0
225495700,5.50781E+17,@liyah_loves did you take tamiflu ?,0
2958958049,5.58737E+17,Did you know approximately 14% of adderall abusers fake symptoms to get prescribed adderall #WhoKnew,0
349767227,5.61729E+17,@Kid_JUICE18 lmao nigga I ain't fen been on Look at yo push pop ass,0
401880493,5.41982E+17,I want a cigarette and amphetamines,0
470007950,5.41977E+17,"Commercial: ""don't take Stelara if you're allergic to Stellara"" .... Well no duh stuuuupid",0
24928686,5.62694E+17,"@DabJesus I don't like how people think xanax is so cool, oh yeah it's so fun to be a zombie ha, I've seen people ruin their lives.",0
920862038,5.64027E+17,"Anyone that has asthma, COPD or other respiratory health conditions can call NHS 111 or see their pharmacist for advice #selfcare",0
427108597,5.39846E+17,"My Psych teacher: ""How hard is it to get some Adderall here?"" Everyone: ""NOT HARD!"" One girl in the front: ""It's hard during finals week...""",0
20546042,5.63208E+17,Wide awake and I don't know why. It's been awhile but I think it's gonna be a Lunesta night.,0
2270834220,5.70407E+17,Madlyn t cho sur amine,0
365297722,5.3889E+17,Whether or not to take Adderall at 9pm... That is the question,0
285099438,5.63046E+17,It's only fen and I need some changes ASAP low it ,0
1216729934,5.30147E+17,@Whyyouhoeing ahhh I used to have a friend who would just give me free adderall before school everyday hahaha,0
2276193771,5.57613E+17,@scherzadeh have an imodium for the motion ;-),0
1448010756,5.3931E+17,Okay all jokes aside I really need Adderall,0
223934558,5.64609E+17,@Tattooed_Priest no sir I'm not but I was hurting so bad earlier that I took an oxycodone right after I ate lunch & puked like 30 mins later,
20109447,5.63132E+17,"Odell Haggins on Darvin Taylor: ""You see him at 328 and he can move, lateral move ... He can take the A gap and the B gap.""",
