user,tweet_id,tweet,ade
351832646,565415996241215000,Next Day I Off Xanax Life,0
49877350,545205586464239000,"@DrRichardBesser My daughter started tamiflu Monday. If the rest of the family gets it, when would we start seeing symptoms?",1
629013191,532597542257954000,Adderall and coffee.,0
151671988,533241864749875000,4 tests + 1 quiz = Adderall,0
541294335,536966955623002000,Just went and copd #NBA2K15,0
967513490,544902612517396000,Who wants to get me adderall for exams? ,0
2329845796,546072108410081000,"Adderall had me like ""my palms are sweaty, knees weak, arms are heavy""â€ - said all the high schoolers during finals",0
612797013,540584132971991000,"Ravens DT Haloti Ngata suspended 4 games by NFL, claims Adderall use; may return for playoffs",0
1849663171,545774423983149000,â€œ@AdderallHadMe: When the Adderall kicks in https://twitter.com/AdderallHadMe/status/540204923363676160/photo/1pic.twitter.com/vGtdL767BnÂ â€ @Stickynipps,0
19253495,559123028316262000,@JewelFen aww fen thankyou x,0
2791066327,539876694262554000,"Thalidomide survivors seek more financial support from Ottawa, to know of that which they may not well speak. Some. #XmasListIn3Words",0
564372788,535754051334709000,Mmkn ala2y friendship bracelets fen f Mall of Arabia ?,0
408787246,558994875769974000,First night out in ages and what do I reach for..... Imodium ,0
324191167,545299204068093000,adderall just had me write from cover to cover in that blue book. back to the dubb,0
473595147,563735596670406000,"@killuhky amen, xanax is fucking awful",1
232683620,567549278906621000,Hmu for weed or xanax Will deliver rn . Trappn,0
92137598,562276019286327000,Adderall had me thinking I was an ice road trucker on the way to work.pic.twitter.com/JblHk0F42T,0
16845245,550876162797600000,"@bizarchive but who has or had diarrhea, and what role did Imodium play in the show",1
24580091,528921838576234000,@iSmashFizzle was on wellbutrin for a while. Couldn't handle vyvanse but my dad is fine on it. Rn=10 mg of adderall as needed,1
11643,541695761525010000,@VeloAcciaio Iâ€™ve used a ventolin maybe 6 puffs in the last 10 years. Iâ€™ve had three or four today.,0
1014146533,542470458780946000,adderall is magic,0
760262066,538393016252510000,thank god for adderall,0
176517760,553389070056169000,@KaseY_TenderS if you take vyvanse in the morn you feel like that a good part of the day,0
2465478715,544113518824271000,"Woooooow this is amazing,,dance antara @Shaheer_S dan #PoojaSharma ;) I like it (y) !!! Kereeeeeeeeen .. Dua jempol (y)(y)",0
